               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11488,            0.049064,            0.047607,           0.0051537,             0.19711,           0.0037163,           0.0010483,             0.10979,            0.040894,            0.046228,              0.0946,              0.0006,              0.0006
                   1,             0.10657,            0.047799,            0.045928,           0.0059554,             0.22252,           0.0056439,            0.001736,            0.098885,            0.045921,             0.04353,            0.088294,           0.0012936,           0.0012936
                   2,            0.096299,            0.053499,            0.042793,           0.0070765,             0.25762,            0.011815,           0.0038195,            0.096039,            0.048264,            0.040918,             0.08198,           0.0019802,           0.0019802
                   3,            0.086676,            0.059503,            0.039652,            0.048429,            0.041783,            0.021374,           0.0076213,            0.086999,            0.052254,            0.038818,             0.07566,           0.0026599,           0.0026599
                   4,            0.079506,            0.063207,            0.037384,            0.049284,            0.051028,            0.022929,           0.0088458,            0.083975,             0.05542,            0.037238,            0.069333,           0.0033327,           0.0033327
                   5,            0.072886,            0.061624,            0.036184,             0.27392,            0.035456,            0.046809,            0.020645,            0.084472,             0.05806,            0.035828,            0.062999,           0.0039985,           0.0039985
                   6,            0.069583,            0.064776,            0.034299,             0.80749,            0.026808,            0.038063,            0.015552,            0.080399,            0.062302,            0.035468,            0.056657,           0.0046574,           0.0046574
                   7,            0.068002,            0.063088,            0.032831,             0.81966,            0.028678,            0.029024,            0.012454,             0.08161,            0.063766,             0.03443,            0.050309,           0.0053094,           0.0053094
                   8,            0.066454,            0.062217,            0.032615,             0.56138,            0.034913,            0.030142,            0.011899,            0.074093,            0.062119,            0.033429,            0.043954,           0.0059545,           0.0059545
                   9,            0.064543,             0.05977,            0.032136,             0.55869,            0.037359,            0.027461,            0.010171,            0.078408,            0.061447,            0.033282,            0.037593,           0.0065926,           0.0065926
                  10,            0.063189,            0.056146,            0.032188,             0.55963,            0.052289,            0.039417,            0.013798,            0.074818,             0.06102,             0.03335,            0.031224,           0.0072238,           0.0072238
                  11,            0.060989,            0.057112,            0.031285,             0.30333,            0.051106,            0.036218,            0.014185,            0.071553,            0.070358,            0.032587,            0.024848,           0.0078481,           0.0078481
                  12,            0.061282,            0.056418,            0.031004,             0.32495,            0.074354,            0.034265,             0.01374,            0.069994,              0.0672,            0.032861,            0.018465,           0.0084654,           0.0084654
                  13,            0.059832,            0.055449,            0.030158,             0.29175,            0.077563,            0.030457,            0.012204,            0.073833,            0.070831,            0.033478,            0.012076,           0.0090758,           0.0090758
                  14,            0.057855,            0.053418,            0.030578,             0.30405,            0.087776,            0.038105,            0.014964,            0.069959,            0.069122,            0.032813,            0.009307,            0.009307,            0.009307
                  15,            0.057174,            0.057084,            0.028917,              0.3005,            0.056221,            0.030519,            0.010728,            0.077475,            0.069595,             0.03172,            0.009307,            0.009307,            0.009307
                  16,            0.055674,            0.054817,            0.029044,            0.055038,            0.092447,            0.037216,             0.01596,             0.06952,             0.07579,            0.036127,           0.0092575,           0.0092575,           0.0092575
                  17,            0.054922,            0.057838,            0.029475,            0.056173,             0.13033,            0.050302,            0.018826,            0.077545,            0.073181,            0.033069,            0.009208,            0.009208,            0.009208
                  18,            0.053973,             0.05422,            0.027181,              0.3047,            0.099314,            0.045672,            0.016817,            0.073514,            0.070587,            0.033936,           0.0091585,           0.0091585,           0.0091585
                  19,            0.052147,            0.057147,            0.027001,            0.065471,             0.13197,            0.059146,            0.020303,            0.062802,            0.064682,            0.035046,            0.009109,            0.009109,            0.009109
                  20,            0.052047,            0.054674,            0.027223,             0.32853,             0.10189,            0.054424,            0.021588,            0.068691,            0.062637,            0.033423,           0.0090595,           0.0090595,           0.0090595
                  21,            0.052173,             0.05306,            0.027644,            0.082665,             0.12157,            0.061982,             0.02484,            0.067659,            0.064163,            0.035156,             0.00901,             0.00901,             0.00901
                  22,            0.051115,            0.056664,            0.026847,            0.072018,             0.14631,            0.066215,              0.0266,            0.069039,             0.06337,            0.035181,           0.0089605,           0.0089605,           0.0089605
                  23,            0.049696,            0.055304,            0.025315,            0.070798,             0.10657,            0.059337,            0.020131,            0.063483,            0.065811,            0.033014,            0.008911,            0.008911,            0.008911
                  24,            0.049271,            0.057148,            0.025564,             0.10064,             0.16382,            0.067439,            0.025403,            0.076194,            0.060669,            0.038867,           0.0088615,           0.0088615,           0.0088615
                  25,             0.04959,            0.058466,            0.025536,             0.10684,              0.1559,            0.057403,            0.023616,            0.073328,            0.071808,            0.037335,            0.008812,            0.008812,            0.008812
                  26,            0.050305,            0.055245,            0.025234,             0.15199,             0.12383,            0.072484,            0.040787,            0.070503,            0.063766,            0.037012,           0.0087625,           0.0087625,           0.0087625
                  27,            0.048982,            0.055036,            0.024745,             0.11613,             0.13715,            0.067124,            0.027593,            0.066482,            0.061035,            0.033331,            0.008713,            0.008713,            0.008713
                  28,            0.048365,            0.052966,            0.023607,              0.1189,             0.12938,            0.062944,            0.027823,            0.068087,            0.062317,            0.038263,           0.0086635,           0.0086635,           0.0086635
                  29,            0.047639,            0.052829,            0.022952,             0.15589,              0.1644,            0.083956,            0.033746,            0.065509,            0.067474,            0.035925,            0.008614,            0.008614,            0.008614
                  30,            0.048356,            0.051164,            0.023008,              0.1001,             0.16499,            0.073405,            0.030335,             0.06261,            0.063492,            0.033118,           0.0085645,           0.0085645,           0.0085645
                  31,             0.04878,            0.056209,             0.02215,            0.089604,             0.12131,            0.076218,            0.032356,            0.064102,            0.065369,            0.033521,            0.008515,            0.008515,            0.008515
                  32,            0.047309,            0.052662,             0.02168,             0.25422,            0.092942,             0.09371,            0.043057,            0.064322,            0.061768,            0.034589,           0.0084655,           0.0084655,           0.0084655
                  33,            0.046104,            0.050612,            0.020985,             0.11595,             0.17512,             0.10069,            0.045928,            0.064305,            0.061172,            0.033575,            0.008416,            0.008416,            0.008416
                  34,            0.046057,            0.052402,            0.020814,             0.19043,             0.10448,            0.084063,            0.042314,            0.068491,            0.068466,            0.036987,           0.0083665,           0.0083665,           0.0083665
                  35,            0.046421,            0.049246,            0.020559,             0.12145,             0.15817,            0.089787,            0.038412,            0.068526,            0.059219,            0.037683,            0.008317,            0.008317,            0.008317
                  36,            0.045757,            0.052178,            0.019793,              0.1123,              0.1636,             0.08691,            0.038548,            0.065594,            0.061523,            0.037451,           0.0082675,           0.0082675,           0.0082675
                  37,            0.046379,            0.051592,             0.01893,            0.089813,               0.153,            0.070321,            0.029257,            0.066281,            0.062927,            0.044183,            0.008218,            0.008218,            0.008218
                  38,            0.045108,            0.053573,            0.019996,             0.11546,              0.1323,            0.084358,            0.032743,            0.065014,            0.062744,             0.03338,           0.0081685,           0.0081685,           0.0081685
                  39,            0.045388,            0.051181,            0.018884,             0.13311,             0.13809,            0.079972,            0.033349,             0.06567,            0.065674,            0.037646,            0.008119,            0.008119,            0.008119
